"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadRawStrip1","_tiffosReadProc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_stream.cxx",610,667,106,106,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","_tiffosReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"TIFFReadRawStrip1","_tiffosReadProc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_stream.cxx",610,667,106,106,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","_tiffosReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"TIFFReadRawStrip1","_tiffisReadProc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_stream.cxx",610,667,108,108,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","_tiffisReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","_tiffisReadProc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_stream.cxx",610,667,108,108,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","_tiffisReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","_tiffisReadProc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_stream.cxx",610,667,108,108,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","_tiffisReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","_tiffisReadProc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_stream.cxx",610,667,108,108,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","_tiffisReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","_tiffReadProc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_unix.c",610,667,68,68,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","_tiffReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","_tiffReadProc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_unix.c",610,667,68,68,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","_tiffReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","_tiffReadProc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_unix.c",610,667,68,68,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","_tiffReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","_tiffReadProc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_unix.c",610,667,68,68,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","_tiffReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","t2p_readproc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/tools/tiff2pdf.c",610,667,460,460,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","t2p_readproc(thandle_t, tdata_t, tmsize_t) -> tmsize_t","thandle_t handle, tdata_t data, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","t2p_readproc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/tools/tiff2pdf.c",610,667,460,460,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","t2p_readproc(thandle_t, tdata_t, tmsize_t) -> tmsize_t","thandle_t handle, tdata_t data, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","t2p_readproc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/tools/tiff2pdf.c",610,667,460,460,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","t2p_readproc(thandle_t, tdata_t, tmsize_t) -> tmsize_t","thandle_t handle, tdata_t data, tmsize_t size","tmsize_t","signed long"
"TIFFReadRawStrip1","t2p_readproc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/tools/tiff2pdf.c",610,667,460,460,"TIFFReadRawStrip1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size, const char * module","tmsize_t","signed long","t2p_readproc(thandle_t, tdata_t, tmsize_t) -> tmsize_t","thandle_t handle, tdata_t data, tmsize_t size","tmsize_t","signed long"
